Game_ID,Away win,Draw,Home Win
ID_8518U587,0,0,0
ID_H49BIKG7,0,0,0
ID_PO6SP4VA,0,0,0
ID_MZRCNBAQ,0,0,0
ID_CV9VOLIU,0,0,0
ID_EP02V6O9,0,0,0
ID_D1BKOMNB,0,0,0
ID_GGFY5Z38,0,0,0
ID_YQ6DCSJJ,0,0,0
ID_ZIMAODWU,0,0,0
ID_H6V0DHCM,0,0,0
ID_EFUM1IB3,0,0,0
ID_7H9RUYR2,0,0,0
ID_7JTHUMTF,0,0,0
ID_VZDE4BA3,0,0,0
ID_1Y735BT9,0,0,0
ID_C51DS9XE,0,0,0
ID_EEAWBOYL,0,0,0
ID_OKHY3GBQ,0,0,0
ID_JKJP61NL,0,0,0
ID_ZRZC49M1,0,0,0
ID_NQGKKQRG,0,0,0
ID_KL74YZ1W,0,0,0
ID_D4BBONMS,0,0,0
ID_E4NAVOHG,0,0,0
ID_8AKT073X,0,0,0
ID_SGHWIP1E,0,0,0
ID_OHS6RR07,0,0,0
ID_0BFR12C0,0,0,0
ID_O3EQ8WEA,0,0,0
ID_PD70LTRE,0,0,0
ID_B9JSESNH,0,0,0
ID_7ZQ7E7Q2,0,0,0
ID_S2ZLOYQU,0,0,0
ID_UUQYAGBP,0,0,0
ID_2BHM1MAF,0,0,0
ID_2B96PJLU,0,0,0
ID_QKWD8147,0,0,0
ID_NMRV6S78,0,0,0
ID_NQX0L8NJ,0,0,0
ID_GGRLN92Z,0,0,0
ID_8LEIJZJI,0,0,0
ID_H4WRH27A,0,0,0
ID_TRN20YF5,0,0,0
ID_313CQJ6L,0,0,0
ID_60EADYBI,0,0,0
ID_4Q60CD7W,0,0,0
ID_LWI3010X,0,0,0
ID_N4FNUPW8,0,0,0
ID_G91KCS98,0,0,0
ID_RFU5FMC8,0,0,0
ID_GBP5RWBW,0,0,0
ID_EWFWK6L1,0,0,0
ID_QCQ20X8Y,0,0,0
ID_03VRW8WV,0,0,0
ID_XQGYMP2Q,0,0,0
ID_A46DVQWP,0,0,0
ID_0UB8ADG9,0,0,0
ID_FDCEHVOD,0,0,0
ID_SY9KA6L3,0,0,0
ID_RX2CNZIS,0,0,0
ID_B3NVY9HP,0,0,0
ID_MXDJNYS9,0,0,0
ID_WJIU8X3N,0,0,0
ID_DYAVEIYE,0,0,0
ID_L80OJ6QI,0,0,0
ID_A5U63MGQ,0,0,0
ID_B5ED50XX,0,0,0
ID_2X3AC0BS,0,0,0
ID_ZTDZNU6I,0,0,0
ID_B32VWKSX,0,0,0
ID_D8RLSTH5,0,0,0
ID_7RVSY2WQ,0,0,0
ID_DLPZZFIJ,0,0,0
ID_IPJJKELT,0,0,0
ID_MM9562CN,0,0,0
ID_ZJC5BV5Z,0,0,0
ID_HNY0SOAW,0,0,0
ID_RPNHBU1X,0,0,0
ID_L1OMXXIV,0,0,0
ID_QPA4T2QH,0,0,0
ID_VP9Q1486,0,0,0
ID_PK7PTLYZ,0,0,0
ID_EU409IWG,0,0,0
ID_XWL7CYH2,0,0,0
ID_1J98M9UL,0,0,0
ID_EETOBLMQ,0,0,0
ID_ZD3UQK1K,0,0,0
ID_DSZ1VC2A,0,0,0
ID_3SIVKWL4,0,0,0
ID_BR430MM1,0,0,0
ID_4G117ZRE,0,0,0
ID_XK39LD7P,0,0,0
ID_QQYS31OV,0,0,0
ID_EVSAW1BF,0,0,0
ID_7ZBSNKA9,0,0,0
ID_4M8BH80D,0,0,0
ID_QV0XBIAB,0,0,0
ID_ZMO6O1V6,0,0,0
ID_EVTW8X2J,0,0,0
ID_TEHN7MG2,0,0,0
ID_DN9ALJT4,0,0,0
ID_3I1STYJX,0,0,0
ID_X9050P7D,0,0,0
ID_PJ53WB0E,0,0,0
ID_AB2XN1F5,0,0,0
ID_N0UG6G1F,0,0,0
ID_PYMMJPRC,0,0,0
ID_0H4KVTOZ,0,0,0
ID_KSKX84HK,0,0,0
ID_8QTW09GB,0,0,0
ID_HRER0KI5,0,0,0
ID_FKNOHQ2F,0,0,0
ID_9H3FH940,0,0,0
ID_TRXZ1689,0,0,0
ID_H6H66KH2,0,0,0
ID_U8OKJQV2,0,0,0
ID_WRQ0YFYZ,0,0,0
ID_AFHJCI8U,0,0,0
ID_JZ6N5FRO,0,0,0
ID_3TIWWKU9,0,0,0
ID_JFIU2R4K,0,0,0
ID_56ZZJ9EI,0,0,0
ID_OBS64UDF,0,0,0
ID_SA37C0V7,0,0,0
ID_HTSWMY3T,0,0,0
ID_NFN5I5XU,0,0,0
ID_S2N3NDJS,0,0,0
ID_05YW7A1R,0,0,0
ID_W1EF4MOT,0,0,0
ID_OB71L9F1,0,0,0
ID_LJF4GEZC,0,0,0
ID_7MWJO1RG,0,0,0
ID_9FMP4X22,0,0,0
ID_8ZJMCSAG,0,0,0
ID_A84IUATV,0,0,0
ID_ANHOSW6K,0,0,0
ID_MPA7FT70,0,0,0
ID_7DM8G9SL,0,0,0
ID_06SV1XSM,0,0,0
ID_JNE2K1SS,0,0,0
ID_86GTEWAA,0,0,0
ID_2DMNO9QP,0,0,0
ID_JA9L72HB,0,0,0
ID_A0EALXUP,0,0,0
ID_MNGV4C4L,0,0,0
ID_5LFD56QF,0,0,0
ID_KR88Y90B,0,0,0
ID_YMK5WFEQ,0,0,0
ID_BK1X6A61,0,0,0
ID_YSOEYNCU,0,0,0
ID_QHZJNHVX,0,0,0
ID_9UVQHS74,0,0,0
ID_UOTGKHS3,0,0,0
ID_IG3ZU2ZF,0,0,0
ID_85W3ZWMS,0,0,0
ID_F2M9J1QJ,0,0,0
ID_PK1XYY2J,0,0,0
ID_LUDJ2HBX,0,0,0
ID_7Q5V45IR,0,0,0
ID_3SHIZPTH,0,0,0
ID_IPWDET7J,0,0,0
ID_2WSDLFNM,0,0,0
ID_5RTFVRBT,0,0,0
ID_YU30VY06,0,0,0
ID_PBON8UC5,0,0,0
ID_4KXP34GC,0,0,0
ID_B8ZVJSX7,0,0,0
ID_064HV3UA,0,0,0
ID_TFI6B51W,0,0,0
ID_P98LF0O1,0,0,0
ID_JHECYNWP,0,0,0
ID_GOMKISKS,0,0,0
ID_AOLHJTW3,0,0,0
ID_VEHWAM3N,0,0,0
ID_H5QG5VMD,0,0,0
ID_JMF7GIUY,0,0,0
ID_KJBPWWIH,0,0,0
ID_MJ8THLEX,0,0,0
ID_IBRGSBOA,0,0,0
ID_0OW7LBXH,0,0,0
ID_1YF71544,0,0,0
ID_YP3N91A2,0,0,0
ID_MWXN4B53,0,0,0
ID_RRYKCVJW,0,0,0
ID_08N8KYTM,0,0,0
ID_CVL86B7P,0,0,0
ID_OBSKQ4V1,0,0,0
ID_ON6TBDP7,0,0,0
ID_9P65QCMQ,0,0,0
ID_UIJNWDX2,0,0,0
ID_Q0QMD9X9,0,0,0
ID_0D97CTM2,0,0,0
ID_W5BFF5QC,0,0,0
ID_WDL1IC3Y,0,0,0
ID_25GTI42K,0,0,0
ID_LVP6C9HW,0,0,0
ID_XBT7BBZD,0,0,0
ID_FEOI64KN,0,0,0
ID_1KCBWUKE,0,0,0
ID_568NZHSC,0,0,0
ID_K06LVF2G,0,0,0
ID_MP4ONP0P,0,0,0
ID_ZQOB9ZQL,0,0,0
ID_GLACPTCA,0,0,0
ID_1JGSZL4I,0,0,0
ID_6NMJFGI6,0,0,0
ID_V8L2BWZV,0,0,0
ID_ZUPS2JD2,0,0,0
ID_O50PFEVT,0,0,0
ID_JXNNMUJK,0,0,0
ID_IM6OHCK8,0,0,0
ID_6DCVCZN8,0,0,0
ID_RT5HR95R,0,0,0
ID_7HWNZT53,0,0,0
ID_7SH1NGU4,0,0,0
ID_IGWZ8LQR,0,0,0
ID_QR4DQRG1,0,0,0
ID_133YXY0T,0,0,0
ID_XVGLDCOL,0,0,0
ID_GI90U9RD,0,0,0
ID_BXLQY78T,0,0,0
ID_YLIXN9AV,0,0,0
ID_530FN5PE,0,0,0
ID_FRUGDE4G,0,0,0
ID_LTB6HGNO,0,0,0
ID_KD5JPIY4,0,0,0
ID_GVX36W01,0,0,0
ID_EMIAV5PV,0,0,0
ID_QKQ00O16,0,0,0
ID_172V2IXW,0,0,0
ID_2ZK5TE39,0,0,0
ID_IS54QGW9,0,0,0
ID_YG9IONLS,0,0,0
